"experimento","metrica","n","media","desvio_padrao","margem_ic95","ic95_inferior","ic95_superior"
1,"tempo_segundos",10,0.4834434564,0.0107589821033476,0.00769651214884448,0.475746944251155,0.491139968548844
1,"L1-dcache-loads",10,2431370786.2,3550492.43606047,2539869.28373247,2428830916.91627,2433910655.48373
1,"L1-dcache-load-misses",10,136573402.7,186666.810076165,133533.391703499,136439869.308297,136706936.091703
1,"branch-instructions",10,135271259.3,11.353413583588,8.12174281336081,135271251.178257,135271267.421743
1,"branch-misses",10,264158.4,156.619993047574,112.03919363966,264046.36080636,264270.43919364
2,"tempo_segundos",10,0.5328817432,0.0110320997622554,0.00789188875228676,0.524989854447713,0.540773631952287
2,"L1-dcache-loads",10,3101029901.8,219198.740856481,156805.333051758,3100873096.46695,3101186707.13305
2,"L1-dcache-load-misses",10,141723649.3,506408.856697618,362263.07288335,141361386.227117,142085912.372883
2,"branch-instructions",10,135271054.4,10.9868608397081,7.85952677662384,135271046.540473,135271062.259527
2,"branch-misses",10,264197.1,104.722331270206,74.9138428834892,264122.186157116,264272.013842883
3,"tempo_segundos",10,0.3218403454,0.00534170107932424,0.00382122275672555,0.318019122643274,0.325661568156726
3,"L1-dcache-loads",10,2427471294.1,81168.437812914,58064.4025363185,2427413229.69746,2427529358.50254
3,"L1-dcache-load-misses",10,8668494.3,9772.16327750525,6990.58448683631,8661503.71551316,8675484.88448684
3,"branch-instructions",10,135271095.1,7.97844317868816,5.70743442676911,135271089.392566,135271100.807434
3,"branch-misses",10,263908,131.218223666617,93.8678624891175,263814.132137511,264001.867862489
4,"tempo_segundos",10,0.5257948887,0.00497293971537623,0.00355742676837018,0.52223746193163,0.52935231546837
4,"L1-dcache-loads",10,3098769910.2,195126.657798809,139585.202195352,3098630324.9978,3098909495.40219
4,"L1-dcache-load-misses",10,8753024.7,22800.8252094816,16310.7277754327,8736713.97222457,8769335.42777543
4,"branch-instructions",10,135271049.6,6.20394139953698,4.43803232439609,135271045.161968,135271054.038032
4,"branch-misses",10,264197.6,58.8296977158079,42.0842305371698,264155.515769463,264239.684230537
5,"tempo_segundos",10,0.4075100891,0.0228360288890253,0.0163359109707098,0.39117417812929,0.42384600007071
5,"L1-dcache-loads",10,2299802851.4,2904995.85173466,2078108.84435452,2297724742.55565,2301880960.24435
5,"L1-dcache-load-misses",10,137040873.8,162455.41201395,116213.600896489,136924660.199104,137157087.400896
5,"branch-instructions",10,68424462.7,23.9399712243399,17.1256237440705,68424445.5743763,68424479.8256238
5,"branch-misses",10,264123.8,160.499775008496,114.814622459065,264008.985377541,264238.614622459
6,"tempo_segundos",10,0.5521533314,0.00974451957118632,0.00697080937061443,0.545182522029386,0.559124140770614
6,"L1-dcache-loads",10,2902432647,590543.211940216,422449.164935531,2902010197.83506,2902855096.16494
6,"L1-dcache-load-misses",10,143840614,465451.520507417,332963.959589527,143507650.04041,144173577.95959
6,"branch-instructions",10,68424356,9.88826464946088,7.07363840505744,68424348.9263616,68424363.0736384
6,"branch-misses",10,264164.1,104.532238514675,74.7778587180454,264089.322141282,264238.877858718
7,"tempo_segundos",10,0.3669389311,0.0215747653766787,0.0154336574069039,0.351505273693096,0.382372588506904
7,"L1-dcache-loads",10,2590069210.2,3751641.31745702,2683762.52516776,2587385447.67483,2592752972.72517
7,"L1-dcache-load-misses",10,139051436,1168460.34297798,835866.17570215,138215569.824298,139887302.175702
7,"branch-instructions",10,147489877.2,22.7683991532123,16.2875315721471,147489860.912468,147489893.487532
7,"branch-misses",10,138278.4,285.198254630782,204.01854102091,138074.381458979,138482.418541021
8,"tempo_segundos",10,0.5144127595,0.010950098428251,0.00783322853170788,0.506579530968292,0.522245988031708
8,"L1-dcache-loads",10,3128340501.2,434457.273957546,310792.01127472,3128029709.18872,3128651293.21127
8,"L1-dcache-load-misses",10,2009253.3,291281.21939194,208370.031871581,1800883.26812842,2217623.33187158
8,"branch-instructions",10,147489773,10.9747184221029,7.85084061433477,147489765.149159,147489780.850841
8,"branch-misses",10,138078.1,258.803421753096,185.136815039916,137892.96318496,138263.23681504
