experimento,metrica,n,media,desvio_padrao,margem_ic95,ic95_inferior,ic95_superior,minimo,maximo,cv_pct
1,tempo_segundos,10,0.4834434564,0.010758982103347582,0.007696512149034649,0.47574694425096536,0.4911399685490347,0.471996633,0.509151696,2.2254892399341166
1,L1-dcache-loads,10,2431370786.2,3550492.4360604715,2539869.283795223,2428830916.9162045,2433910655.483795,2425351820.0,2435868094.0,0.14602842380982753
1,L1-dcache-load-misses,10,136573402.7,186666.81007616516,133533.3917067986,136439869.3082932,136706936.09170678,136170898.0,136763887.0,0.1366787429952239
1,branch-instructions,10,135271259.3,11.353413583587976,8.121742813561486,135271251.1782572,135271267.42174283,135271245.0,135271286.0,8.393071552922237e-06
1,branch-misses,10,264158.4,156.6199930475743,112.03919364242806,264046.3608063576,264270.43919364247,264001.0,264529.0,0.05929018083376273
2,tempo_segundos,10,0.5328817431999999,0.011032099762255446,0.007891888752481757,0.5249898544475182,0.5407736319524816,0.522894831,0.555042186,2.0702716696591548
2,L1-dcache-loads,10,3101029901.8,219198.7408564809,156805.3330556321,3100873096.4669447,3101186707.1330557,3100828122.0,3101388794.0,0.007068578756020587
2,L1-dcache-load-misses,10,141723649.3,506408.85669761826,362263.0728923009,141361386.2271077,142085912.37289232,141251269.0,142969817.0,0.357321349823313
2,branch-instructions,10,135271054.4,10.986860839708088,7.859526776818034,135271046.54047322,135271062.2595268,135271043.0,135271075.0,8.122107784581656e-06
2,branch-misses,10,264197.1,104.72233127020553,74.91384288534022,264122.18615711463,264272.0138428853,264025.0,264350.0,0.03963795638567022
3,tempo_segundos,10,0.32184034539999995,0.005341701079324258,0.0038212227568199778,0.31801912264318,0.3256615681568199,0.318025824,0.334403802,1.6597363120168522
3,L1-dcache-loads,10,2427471294.1,81168.43781291401,58064.40253775315,2427413229.697462,2427529358.5025377,2427338987.0,2427586947.0,0.0033437444970078507
3,L1-dcache-load-misses,10,8668494.3,9772.163277505255,6990.584487009035,8661503.715512991,8675484.88448701,8654582.0,8682301.0,0.11273195712322558
3,branch-instructions,10,135271095.1,7.978443178688155,5.707434426910135,135271089.39256558,135271100.8074344,135271087.0,135271113.0,5.8981138378380404e-06
3,branch-misses,10,263908.0,131.2182236666166,93.86786249143682,263814.13213750854,264001.86786249146,263792.0,264191.0,0.049721199685730105
4,tempo_segundos,10,0.5257948886999999,0.004972939715376228,0.0035574267684580743,0.5222374619315419,0.529352315468458,0.521620783,0.535081549,0.9457946096949628
4,L1-dcache-loads,10,3098769910.2,195126.65779880853,139585.20219880127,3098630324.997801,3098909495.402199,3098491550.0,3099029287.0,0.006296906948674182
4,L1-dcache-load-misses,10,8753024.7,22800.825209481634,16310.727775835727,8736713.972224163,8769335.427775836,8702955.0,8777060.0,0.26049081307267
4,branch-instructions,10,135271049.6,6.203941399536983,4.438032324505748,135271045.16196766,135271054.03803232,135271041.0,135271058.0,4.586303882377049e-06
4,branch-misses,10,264197.6,58.829697715807896,42.08423053820965,264155.51576946175,264239.6842305382,264106.0,264293.0,0.022267309663603265
5,tempo_segundos,10,0.4075100891,0.02283602888902526,0.01633591097111346,0.3911741781288865,0.42384600007111345,0.392810592,0.457560809,5.603794727992971
5,L1-dcache-loads,10,2299802851.4,2904995.851734663,2078108.8444058711,2297724742.5555944,2301880960.2444057,2297400460.0,2307143183.0,0.12631499478167238
5,L1-dcache-load-misses,10,137040873.8,162455.4120139499,116213.6008993602,136924660.19910064,137157087.40089938,136690876.0,137256501.0,0.11854522487286556
5,branch-instructions,10,68424462.7,23.9399712243399,17.12562374449368,68424445.57437626,68424479.82562375,68424442.0,68424515.0,3.4987444957079505e-05
5,branch-misses,10,264123.8,160.49977500849582,114.81462246190226,264008.9853775381,264238.6146224619,263953.0,264382.0,0.06076687334064398
6,tempo_segundos,10,0.5521533314000001,0.00974451957118632,0.006970809370786672,0.5451825220292135,0.5591241407707868,0.54502761,0.572941452,1.7648212945630195
6,L1-dcache-loads,10,2902432647.0,590543.2119402158,422449.1649459693,2902010197.835054,2902855096.164946,2901683325.0,2903152146.0,0.02034649150431141
6,L1-dcache-load-misses,10,143840614.0,465451.52050741727,332963.9595977544,143507650.04040223,144173577.95959777,143196348.0,144716934.0,0.32358838548020746
6,branch-instructions,10,68424356.0,9.888264649460883,7.073638405232214,68424348.92636159,68424363.07363841,68424348.0,68424376.0,1.4451381390364687e-05
6,branch-misses,10,264164.1,104.53223851467493,74.77785871989305,264089.3221412801,264238.87785871985,264061.0,264389.0,0.039570947950412244
7,tempo_segundos,10,0.3669389311,0.021574765376678663,0.01543365740728521,0.3515052736927148,0.38237258850728517,0.355601961,0.423597016,5.879661041144474
7,L1-dcache-loads,10,2590069210.2,3751641.317457017,2683762.5252340715,2587385447.6747656,2592752972.725234,2588396744.0,2600288134.0,0.1448471455003059
7,L1-dcache-load-misses,10,139051436.0,1168460.3429779815,835866.1757228035,138215569.8242772,139887302.1757228,138177689.0,141742456.0,0.8403080015498593
7,branch-instructions,10,147489877.2,22.768399153212332,16.287531572549515,147489860.9124684,147489893.48753157,147489864.0,147489938.0,1.543726226196379e-05
7,branch-misses,10,138278.4,285.1982546307821,204.01854102595107,138074.38145897404,138482.41854102595,138049.0,139023.0,0.2062493163290739
8,tempo_segundos,10,0.5144127595000001,0.010950098428251015,0.007833228531901432,0.5065795309680987,0.5222459880319015,0.492387634,0.533722013,2.1286599575979244
8,L1-dcache-loads,10,3128340501.2,434457.27395754604,310792.0112823988,3128029709.1887174,3128651293.2112823,3127246754.0,3128681446.0,0.013887787272226046
8,L1-dcache-load-misses,10,2009253.3,291281.2193919401,208370.03187672916,1800883.268123271,2217623.331876729,1785684.0,2603576.0,14.496988477855933
8,branch-instructions,10,147489773.0,10.974718422102885,7.8508406145287575,147489765.14915937,147489780.85084063,147489750.0,147489791.0,7.4410029921890826e-06
8,branch-misses,10,138078.1,258.8034217530965,185.13681504449053,137892.9631849555,138263.2368150445,137707.0,138522.0,0.18743263540930566
