experimento,metrica,media_anterior,media_atual,variacao_pct,margem_ic95_anterior,margem_ic95_atual
1,tempo_segundos,1.2463855922999998,0.5341628305,-57.14305157248406,0.062167063311256494,0.11557920026545579
1,L1-dcache-loads,2430294284.4,2431673102.8,0.05673462711288657,1394717.7435757068,1028579.5999911062
1,L1-dcache-load-misses,136723346.4,136701282.2,-0.01613784374138172,74160.20317403322,45033.43852139958
1,branch-instructions,135272093.5,135271296.5,-0.0005891828679382982,65.687658441929,116.60159085964128
1,branch-misses,265919.8,264326.7,-0.5990904024446353,308.53015225915203,228.75942439631172
2,tempo_segundos,1.3384866587000002,0.5872247105,-56.127712840235574,0.025176206926585315,0.12316691279598914
2,L1-dcache-loads,3101303622.8,3100985754.1,-0.010249518868887808,175210.81118638522,204821.85572449898
2,L1-dcache-load-misses,142075903.1,141393875.4,-0.4800445994842195,625104.5485206967,344735.25620738266
2,branch-instructions,135271938.0,135271094.4,-0.0006236326709485596,27.35038548732437,123.84708472578573
2,branch-misses,265594.2,264234.5,-0.5119464205167179,227.4784470582175,171.88797429952507
3,tempo_segundos,0.795357893,0.38691083800000003,-51.35386957177025,0.006689406168306702,0.1003297918273382
3,L1-dcache-loads,2427685202.4,2427549501.5,-0.005589723901022747,126110.62326040916,75422.27957789694
3,L1-dcache-load-misses,8700135.8,8673177.6,-0.3098595311581409,12331.179034364202,8117.868909793468
3,branch-instructions,135271631.6,135271145.7,-0.0003592031782684302,43.906574028214344,100.98281849720887
3,branch-misses,264771.0,263940.4,-0.3137050507797223,92.54775897500151,119.24961239619864
4,tempo_segundos,1.3044707832999998,0.5821561023999998,-55.372239083248466,0.00962213365098262,0.12371163712317847
4,L1-dcache-loads,3098744502.8,3098613582.1,-0.004224959491883062,79218.8818952472,58795.97868878122
4,L1-dcache-load-misses,8809397.0,8772560.6,-0.41814893800337094,19128.100913404276,16900.43130143319
4,branch-instructions,135271902.0,135271090.1,-0.000600198554168152,13.989653324024134,125.74801984745783
4,branch-misses,265398.7,264162.5,-0.4657897721428217,114.92463434340183,147.03837877976633
5,tempo_segundos,0.9998250574000002,0.44826728160000007,-55.165428363468024,0.008230653303196916,0.09331540215448657
5,L1-dcache-loads,2299254470.5,2299932988.3,0.02951033949072368,1613201.6106938934,1639343.5400479105
5,L1-dcache-load-misses,137129798.7,137124433.0,-0.003912862157495756,96701.23051814301,41710.495080599576
5,branch-instructions,68425121.3,68424489.0,-0.000924075818919956,14.402400603504432,95.42740766892052
5,branch-misses,265319.2,264138.8,-0.4448980699474525,108.19209245397407,146.66223955400463
6,tempo_segundos,1.4115092477,0.6162137082000001,-56.34362940206756,0.09137890630528665,0.1338822335484492
6,L1-dcache-loads,2902799780.3,2902646246.3,-0.005289169478439604,354381.83290247497,418102.8196710804
6,L1-dcache-load-misses,144246378.6,143972832.8,-0.18963789777941553,400434.09351954283,319770.86220789055
6,branch-instructions,68425332.8,68424405.2,-0.0013556382731927386,119.32854613692399,134.76576498772738
6,branch-misses,265711.4,264280.9,-0.5383660618249686,324.5118044599959,268.2399642571218
7,tempo_segundos,0.9092844552999999,0.41907593089999995,-53.91145988944302,0.0567385431015629,0.09810593341048633
7,L1-dcache-loads,2588807533.1,2588463355.4,-0.013294835386534753,224543.21480722967,210049.35524551556
7,L1-dcache-load-misses,138737969.8,138718351.4,-0.014140613437174654,134247.24480631007,46149.962543845664
7,branch-instructions,147490652.8,147489915.5,-0.0004998960856261725,381.1388058873821,100.46923949570224
7,branch-misses,143273.8,138133.4,-3.5878157765062424,1561.0324633738198,396.8537240851151
8,tempo_segundos,1.2635115092000002,0.5647005791,-55.3070490463879,0.005362882051777801,0.11498214885323799
8,L1-dcache-loads,3128552556.1,3128284697.2,-0.008561751647029325,103394.1479627949,247225.1249383863
8,L1-dcache-load-misses,2198614.3,1931862.9,-12.132705586423231,92135.79403579778,152067.6988389549
8,branch-instructions,147490597.9,147489809.1,-0.0005348137516847373,17.374159009497824,116.8311404725109
8,branch-misses,141953.7,138018.3,-2.772312380726971,463.8526830991328,348.2693707376862
