ordem,rodada,experimento,tecnica,alocacao,tamanho,bloco,tempo_segundos,checksum,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,cobertura_min_pct
1,1,7,tiling,estatica,512,32,1.142285282,33566647.392028809,2588726845,138505420,147490724,145160,100.0
2,1,6,unroll,dinamica,512,32,1.773052765,33566647.392028809,2903174454,144772210,68427268,267718,100.0
3,1,1,simples,estatica,512,32,1.440731810,33566647.392028809,2431188042,136831915,135273809,268785,100.0
4,1,8,tiling,dinamica,512,32,1.282172930,33566647.392028809,3128508962,2599206,147490606,142124,100.0
5,1,3,interchange,estatica,512,32,0.792114708,33566647.392028809,2427510743,8690534,135271598,264769,100.0
6,1,5,unroll,estatica,512,32,0.995840792,33566647.392028809,2298756190,137205041,68425095,265048,100.0
7,1,2,simples,dinamica,512,32,1.355754227,33566647.392028809,3101603412,141598622,135271944,265528,100.0
8,1,4,interchange,dinamica,512,32,1.324740920,33566647.392028809,3098715021,8830079,135271917,265455,100.0
